idevaluacion;clip;nivel;version;forma;p1;p2;p3;p4;p5;p6;p7;p8;p9;p10;p11;p12;p13;p14;p15;p16;p17;p18;p19;p20;p21;p22;p23;p24;p25;p26;p27;p28;p29;p30;p31;p32;p33;p34;p35;p36;p37;p38;p39;p40;p41;p42;p43;p44;p45;p46;p47;p48;p49;p50;p51;p52;p53;p54;p55;p56;p57;p58;p59;p60;p61;p62;p63;p64;p65;p66;p67;p68;p69;p70;p71;p72;p73;p74;p75;p76;p77;p78;p79;p80;p81;p82;p83;p84;p85;p86;p87;p88
1;20;2;1;1;D;A;B;A;A;D;A;C;B;A;B;B;A;A;D;C;C;C;C;C;D;A;A;D;B;B;A;C;D;D;A;B;D;C;B;B;A;B;C;D;B;D;A;D;B;D;D;C;C;C;A;B;C;B;C;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;21;2;1;1;D;D;C;D;A;C;A;A;D;B;A;D;B;B;A;A;D;C;A;D;A;B;A;B;C;D;C;C;C;B;A;C;A;C;C;D;A;B;A;D;B;C;C;C;D;B;C;A;C;A;D;B;B;C;A;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;22;2;1;1;D;B;A;A;A;C;A;C;A;A;B;A;C;D;A;B;D;A;C;D;A;C;D;C;B;A;C;C;A;A;D;B;C;B;B;C;D;N;C;D;C;D;C;C;B;B;C;A;A;C;C;A;C;C;A;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;23;2;1;1;C;B;D;D;B;B;D;B;B;B;C;D;A;D;C;A;C;B;C;D;D;C;B;A;C;B;C;C;B;B;D;D;B;B;B;C;B;D;B;B;B;A;B;B;B;D;C;A;D;B;A;D;B;B;D;D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;24;2;1;2;D;C;A;D;B;D;A;B;A;D;B;B;A;A;B;A;C;A;D;D;B;D;A;A;A;A;D;A;D;C;A;B;B;B;A;B;A;B;A;B;C;D;B;B;B;B;C;A;B;C;A;B;C;A;B;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;26;2;1;1;A;A;A;A;C;A;A;A;A;C;A;A;C;A;A;A;A;A;A;D;A;C;A;A;B;A;C;C;A;A;A;A;A;A;B;A;A;A;A;A;A;A;B;A;B;A;B;A;A;A;B;A;B;C;A;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;32;2;1;1;D;D;D;D;C;D;A;C;D;D;D;D;C;D;D;D;D;D;C;D;A;B;A;B;D;D;C;C;A;A;C;A;A;C;A;A;D;B;C;A;C;C;C;C;A;A;A;A;A;A;B;B;B;C;A;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;33;2;1;2;C;D;B;B;C;B;A;D;C;C;A;C;A;B;A;C;D;B;A;D;C;B;D;C;A;C;C;C;A;C;C;B;A;C;B;B;A;D;A;C;C;B;B;B;C;D;B;B;A;B;C;C;B;D;C;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;40;2;1;2;A;A;C;D;A;B;A;C;C;A;C;A;B;B;C;C;B;A;B;D;C;A;A;B;B;C;C;A;B;D;B;A;C;D;D;B;D;D;D;C;B;B;A;D;D;B;C;D;A;D;C;A;C;C;D;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;42;2;1;2;A;A;A;A;A;C;D;D;C;A;A;C;C;D;A;B;D;D;C;D;C;D;B;B;C;C;C;C;C;A;D;C;A;D;B;A;D;B;A;A;C;D;D;A;A;A;A;A;A;C;A;C;A;B;A;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;43;2;1;1;D;C;D;A;A;B;A;A;A;A;A;A;C;B;A;C;B;A;B;B;A;B;B;B;B;B;A;D;A;C;A;B;C;A;A;A;B;A;B;B;B;A;A;A;D;A;B;C;A;C;A;A;A;A;A;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;44;2;1;2;C;D;C;D;C;C;A;A;D;D;C;A;A;C;D;D;D;A;C;D;A;A;A;B;B;A;C;C;C;C;D;B;C;C;A;B;D;B;D;C;B;D;D;A;D;A;C;A;D;C;D;C;B;D;C;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;46;2;1;1;D;D;C;A;B;A;C;D;D;D;D;C;D;D;D;D;D;C;D;D;C;D;D;D;D;C;D;D;D;D;D;D;D;D;C;D;D;D;D;C;C;C;D;D;D;D;C;D;D;D;D;B;D;D;D;D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;50;2;1;1;B;B;D;A;C;D;D;D;C;D;D;B;C;D;D;D;D;A;B;D;B;C;C;D;B;D;C;A;C;C;C;D;D;C;D;D;D;D;A;B;B;C;B;B;A;A;B;A;B;D;D;C;A;D;B;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;51;2;1;1;D;D;A;D;C;A;A;C;D;D;D;B;D;D;A;C;D;D;C;C;B;B;A;A;B;D;C;C;C;C;A;C;A;A;B;A;D;B;B;A;B;C;D;C;D;A;C;A;A;A;D;B;C;C;A;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;52;2;1;1;A;D;D;A;B;A;C;C;A;D;A;D;B;D;D;A;A;D;A;C;D;A;D;B;A;D;C;C;C;D;D;C;A;A;D;A;B;A;B;D;D;C;D;A;B;B;C;A;A;A;B;D;B;C;C;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;54;2;1;1;D;D;B;C;D;A;D;C;A;B;C;D;B;A;B;B;D;A;B;D;A;B;B;A;A;B;C;D;C;B;B;D;A;A;C;A;A;D;A;B;C;C;D;A;C;C;B;C;A;B;A;C;C;B;D;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;58;2;1;2;C;C;B;A;A;A;A;C;A;A;D;C;A;C;B;C;C;A;C;D;B;C;C;C;D;B;C;A;C;B;C;C;A;B;A;B;A;C;C;C;B;B;B;D;C;A;C;B;C;B;A;C;B;A;C;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;61;2;1;2;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;71;2;1;2;C;D;D;C;B;C;C;D;D;D;B;C;B;B;D;D;B;C;C;D;C;B;A;A;C;D;C;C;C;D;B;A;C;B;C;B;A;D;A;C;C;B;B;A;A;B;C;A;A;D;B;D;A;B;C;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;73;2;1;2;C;D;D;B;B;C;C;D;D;D;A;C;A;B;C;C;D;B;B;C;C;B;D;C;C;A;B;C;B;D;D;C;B;D;C;D;A;B;D;B;D;B;B;D;A;C;A;B;B;B;B;D;B;A;B;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;76;2;1;2;C;D;B;A;C;A;A;D;B;A;A;C;D;D;B;D;B;C;D;D;A;A;D;D;D;C;C;C;B;D;D;D;D;D;D;B;D;C;B;D;C;A;B;A;C;C;A;B;A;D;D;D;D;D;B;D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;77;2;1;1;D;D;D;A;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;B;D;D;D;D;D;D;D;D;C;D;D;D;D;D;C;D;D;D;D;D;D;D;C;D;D;D;D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;81;2;1;1;D;D;D;D;C;C;B;B;A;C;B;A;C;C;C;C;C;D;B;B;B;C;C;D;A;C;C;B;C;B;C;C;B;A;C;C;B;C;C;C;D;D;A;D;B;C;D;C;C;C;B;C;C;C;C;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;83;2;1;1;C;C;A;B;N;B;A;C;D;A;B;C;D;A;B;D;A;C;C;A;B;C;D;A;B;C;A;B;B;C;D;B;A;B;C;D;A;B;C;C;C;C;C;C;C;C;C;C;C;N;C;C;C;C;D;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;84;2;1;2;C;B;C;C;A;D;A;C;B;D;D;A;C;B;C;C;B;D;A;D;A;D;B;D;A;B;C;C;D;B;B;C;D;D;C;C;B;B;B;B;D;A;D;A;C;B;D;B;A;B;C;B;C;C;D;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;85;2;1;1;A;A;A;A;A;A;A;A;A;B;B;B;A;C;A;A;A;A;A;A;A;A;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;D;D;D;D;D;D;A;A;A;A;A;A;A;A;A;A;A;A;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;88;2;1;2;C;D;C;C;C;C;A;D;D;D;A;C;A;A;A;C;A;B;D;A;C;A;D;B;C;C;D;C;A;A;C;C;B;D;C;A;C;B;A;C;C;B;C;A;C;D;B;C;A;C;A;B;C;C;B;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;92;2;1;1;C;C;D;B;A;A;D;A;D;D;D;A;B;B;B;A;A;A;A;B;A;A;A;C;A;D;C;A;A;B;B;A;B;B;A;A;C;B;C;A;A;A;D;A;A;A;A;A;A;A;B;B;B;A;C;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;96;2;1;2;D;D;A;B;B;C;A;A;B;C;B;B;A;B;A;C;D;B;C;D;B;C;A;B;B;A;C;C;A;A;D;A;C;C;A;B;D;B;B;C;C;D;D;A;D;A;C;A;D;D;D;C;B;C;A;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;100;2;1;2;C;D;D;C;C;C;B;B;D;D;N;A;D;C;D;D;B;D;C;D;D;A;D;B;B;B;C;C;C;C;D;B;C;C;A;N;N;B;D;C;A;C;D;D;B;D;N;D;A;B;B;B;B;A;C;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;103;2;1;2;D;A;B;B;B;B;C;B;C;B;C;C;D;B;B;B;A;A;B;D;D;D;D;D;D;B;C;C;C;C;D;C;D;C;A;A;D;B;A;D;B;D;A;A;B;C;A;D;B;A;A;C;C;C;C;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;105;2;1;2;C;D;C;D;D;A;B;D;A;D;C;A;D;C;D;D;D;D;D;D;B;D;D;B;B;B;C;C;C;C;D;B;C;B;A;B;D;B;A;C;B;B;D;A;B;A;C;A;D;C;D;C;B;A;B;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;106;2;1;1;D;B;B;B;D;A;B;C;D;A;D;A;B;A;D;D;D;C;D;A;C;B;A;B;B;D;C;C;C;B;C;D;A;C;D;A;C;B;C;D;B;C;D;C;D;C;C;D;C;A;D;B;C;C;D;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;111;2;1;2;D;D;C;B;A;C;A;C;B;C;A;A;C;A;B;C;A;C;D;B;C;B;A;B;A;B;C;C;A;C;D;B;B;B;A;B;A;C;B;D;C;A;B;A;B;A;A;B;C;D;A;A;A;D;D;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;116;2;1;1;C;D;C;D;A;C;C;B;A;D;A;B;C;C;B;B;D;D;A;D;B;A;A;B;D;D;D;C;B;B;C;C;C;A;B;B;C;A;A;B;A;C;D;B;B;A;D;A;B;A;B;B;B;D;D;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;123;2;1;1;D;D;C;D;A;A;A;C;A;D;D;B;C;D;N;C;N;A;C;N;B;C;D;B;B;D;C;C;C;C;B;D;N;C;B;A;B;B;A;C;B;C;D;C;D;A;A;A;B;A;D;B;B;C;D;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;125;2;1;1;D;D;C;C;A;D;A;C;D;D;D;A;C;C;B;C;D;C;C;A;B;A;D;C;B;D;C;C;C;C;B;B;C;B;C;D;N;B;B;D;B;C;D;C;N;N;C;B;A;N;N;N;N;N;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;128;2;1;2;C;D;D;A;D;A;B;B;A;D;N;A;D;C;D;D;D;D;N;C;A;C;D;B;B;N;C;C;B;C;N;N;N;C;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;146;2;1;2;C;D;C;D;C;C;D;D;D;D;C;A;D;C;D;D;D;D;C;D;B;C;D;B;B;B;C;C;C;C;D;B;C;C;A;B;D;B;D;C;C;B;D;A;A;D;A;A;D;C;D;C;B;D;B;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;150;2;1;1;A;B;C;C;D;A;C;B;C;B;D;C;A;D;D;C;D;B;B;D;B;D;B;A;A;C;B;B;C;C;C;A;C;A;D;A;D;A;B;D;B;A;B;A;B;B;D;D;C;A;D;C;C;B;C;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;164;2;1;2;B;B;A;B;C;D;C;D;A;C;D;B;C;B;B;D;B;A;A;B;B;C;C;B;D;A;C;B;C;D;A;A;D;B;D;A;D;C;A;C;D;B;D;C;A;C;D;A;C;C;A;A;A;D;B;D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;165;2;1;1;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;C;A;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;166;2;1;2;B;D;N;N;N;N;N;N;N;N;A;B;C;A;B;B;D;C;N;N;C;C;D;D;B;N;B;C;N;D;N;N;N;C;N;B;N;N;B;D;A;D;A;B;B;C;N;N;C;A;N;A;A;A;D;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;169;2;1;1;C;B;A;B;C;C;A;A;B;C;B;C;B;D;C;A;D;C;B;D;D;B;D;C;A;B;B;A;A;C;A;A;B;D;C;C;A;B;D;A;C;C;B;C;A;D;A;A;D;B;B;B;A;B;C;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;172;2;1;1;A;A;C;A;A;D;B;D;A;D;D;C;B;C;A;B;D;D;C;A;B;A;B;A;B;A;D;C;A;B;B;B;C;A;C;C;B;B;C;A;C;D;B;D;B;A;A;A;A;A;B;B;B;B;A;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;181;2;1;1;A;D;A;D;A;A;A;C;A;D;A;B;B;D;A;A;D;D;B;C;C;B;D;B;B;B;C;C;B;B;B;A;A;A;A;A;D;A;A;A;A;D;A;A;A;A;A;A;A;A;D;B;A;A;D;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;184;2;1;2;D;D;C;D;D;C;B;B;A;A;C;A;A;A;C;A;D;D;A;A;A;A;B;C;B;B;C;A;A;D;B;A;A;B;C;B;A;B;A;C;B;D;B;D;D;D;A;C;D;D;B;A;D;D;D;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;194;2;1;2;C;B;B;B;B;B;B;C;D;B;D;D;A;C;D;B;A;B;C;C;C;B;C;B;D;C;C;C;B;B;D;B;C;A;A;B;C;C;A;B;B;B;C;A;C;C;C;C;A;C;B;D;C;C;A;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;222;2;1;2;D;D;C;D;D;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;224;2;1;2;C;A;C;C;C;A;B;B;C;C;D;C;B;A;A;C;A;A;B;C;A;B;D;C;C;D;D;B;C;B;C;C;C;B;B;D;C;C;B;D;C;A;D;B;B;B;A;C;B;C;B;C;D;C;D;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;225;2;1;1;B;A;D;D;D;A;D;C;D;A;D;A;B;A;D;D;D;C;A;C;B;C;A;B;B;D;C;C;C;C;B;D;C;C;B;A;B;B;D;B;B;C;D;C;D;A;A;A;A;A;B;B;C;C;D;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;234;2;1;1;C;D;D;B;C;D;D;C;C;C;D;D;D;C;C;C;D;D;C;D;C;D;D;B;C;D;B;C;C;D;C;D;D;D;D;D;C;C;D;D;C;C;D;D;C;C;C;C;C;D;D;D;D;D;D;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;236;2;1;1;C;D;D;D;A;A;B;D;A;C;D;B;B;C;A;C;D;C;C;D;C;A;C;B;C;D;C;C;D;C;B;B;A;C;D;D;D;D;C;B;C;C;A;D;B;A;D;C;B;B;D;B;C;B;B;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;239;2;1;1;B;D;B;B;C;C;B;D;D;A;D;C;D;A;C;D;B;C;C;C;D;B;C;A;D;B;D;D;D;C;D;D;C;A;C;B;D;D;D;C;B;C;D;A;D;B;C;B;B;B;B;C;C;C;C;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
